Route-Key,Predecessor-Curvature,Predecessor-Elevation,Predecessor-SpeedLimit,Predecessor-LaneNum,Junction-Curvature,Junction-ConnectedRoad,Successor-Curvature,Successor-Elevation,Successor-SpeedLimit,Successor-LaneNum,NumberOfLanes
020342,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,LEFT_CURVATURE,FLAT,NORMAL,010,1
820382,RIGHT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,011,RIGHT_CURVATURE,FLAT,NORMAL,010,2
822302,RIGHT_CURVATURE,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,3
021342,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,011,LEFT_CURVATURE,FLAT,NORMAL,010,3
021302,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,10
022382,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,RIGHT_CURVATURE,FLAT,NORMAL,010,3
020302,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,8
420342,LEFT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,011,LEFT_CURVATURE,FLAT,NORMAL,010,2
020382,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,RIGHT_CURVATURE,FLAT,NORMAL,010,1
022302,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,10
421302,LEFT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,3
420302,LEFT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,1
820302,RIGHT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,1
