Route-Key,Predecessor-Curvature,Predecessor-Elevation,Predecessor-SpeedLimit,Predecessor-LaneNum,Junction-Curvature,Junction-ConnectedRoad,Successor-Curvature,Successor-Elevation,Successor-SpeedLimit,Successor-LaneNum,NumberOfLanes
020342,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,LEFT_CURVATURE,FLAT,NORMAL,010,2
822302,RIGHT_CURVATURE,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,2
021342,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,011,LEFT_CURVATURE,FLAT,NORMAL,010,2
021302,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,20
022382,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,RIGHT_CURVATURE,FLAT,NORMAL,010,2
020302,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,16
020382,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,011,RIGHT_CURVATURE,FLAT,NORMAL,010,2
022302,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,20
421302,LEFT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,2
420302,LEFT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,2
820302,RIGHT_CURVATURE,FLAT,NORMAL,010,STRAIGHT,011,STRAIGHT,FLAT,NORMAL,010,2
